video_id,video_url,domain,subdomain,question,option_a,option_b,option_c,option_d,correct_answer
science_v18,./all_data2/science_v18/science_v18.mp4,Science,Physics,What are the electrodes if I reverse the polarity of the magnet and move it towards the coil?,"Left negative, right positive.","Left positive, right negative.",There will be no eletromotive field.,,a
science_v19,./all_data2/science_v19/science_v19.mp4,Science,Physics,What are the particles on the balloons and the glass rod,electrons and protons,protons and electrons,electrons and photons,photons and electrons,a
science_v20,./all_data2/science_v20/science_v20.mp4,Science,Physics,What does it mean that space and time intertwined in a cosmic fabric?,It suggests that the curvature of space-time is influenced by mass and energy.,It suggests that the curvature of space-time is visible like is shown in the video.,It suggests that the curvature of space-time is influenced by the speed of light.,,a
science_v21,./all_data2/science_v21/science_v21.mp4,Science,Biology,What are the terminal complexes that pump protons from complex I to complex IV?,"CoQ10, Cyt C","Cyt C, CoQ10","Complex III, Cyt C",,a
science_v22,./all_data2/science_v22/science_v22.mp4,Science,Biology,What could be the reason that the person work on the underside of the leaf?,Stomata are generally more numerous on the underside of leaves.,Stomata are about the same on the overside and underside of leaves.,The underside is robust to nail varnish.,,a
science_v23,./all_data2/science_v23/science_v23.mp4,Science,Geography,What leads to the 50km crack in Ethiopia?,A gigantic earthquake happened 20 years ago.,"The African, Arabian and Somali Plates are pulling away from each other.",It has been there since long time ago.,,b
science_v23,./all_data2/science_v23/science_v23.mp4,Science,Geography,Which of the following sets of countries have access to the ocean?,"Ethiopia, South Africa, Mozambique","Rwanda, Burundi, Malawi","Mozambique, South Africa, DRC","Uganda, Mozambique, Zambia",c
science_v24,./all_data2/science_v24/science_v24.mp4,Science,Geography,Which is the most populated country in 2023?,China.,India.,The USA.,,b
science_v24,./all_data2/science_v24/science_v24.mp4,Science,Geography,What makes India's territory safe on the south side?,All three sides are protected by the sea.,It is protected by the Himalayas.,It is militorized in the Jammu and Kashmir.,The Indian Ocean protects all south borders.,a
science_v25,./all_data2/science_v25/science_v25.mp4,Science,Geography,Why does Africa look as large as Greenland on the map?,Because it is.,Because Greenland is getting bigger with more icebergs.,Because of the map distortion effects.,Because the further land gets from the equator the smaller it appears to be on the map.,c
science_v25,./all_data2/science_v25/science_v25.mp4,Science,Geography,Which of the following combination could fit inside Africa?,"China, the USA, India, Argentina, Japan.","China, the USA, Russia, Japan.","The USA, Russia, Brazil.","The USA, China, Brazil, Canada.",a
science_v27,./all_data2/science_v27/science_v27.mp4,Science,Geography,What are typical trees in the temperate rainforests in the mountians in Asia?,"Beech, alder, oak, hornbeam.","Spruce, redwood, fir.","Hemlocks, oak, palm.","Beech, oak, redwood.",a
science_v27,./all_data2/science_v27/science_v27.mp4,Science,Geography,What makes the prosperity of moss and fern?,Large area of shades.,Abundant rainfall and moisture.,Steady and mild temperature all year around.,All above.,d
science_v28,./all_data2/science_v28/science_v28.mp4,Science,Chemistry,How does the solution color change over time?,purple -> green -> light brown.,purple -> light brown -> green.,blue -> green -> light brown.,purple -> yellow -> green.,a
science_v28,./all_data2/science_v28/science_v28.mp4,Science,Chemistry,"Based on the video, what reaction leads to the green color?",potassium permanganate (KMnO4) reacts with sugar (C6H12O6) to form potassium manganate (K2MnO4).,potassium permanganate (KMnO4) reacts with water (H2O) to form potassium manganate (K2MnO4).,potassium manganate (K2MnO4) reacts with sugar (C6H12O6) to form manganese(IV) oxide (MnO2).,potassium permanganate (KMnO4) reacts with potassium manganate (K2MnO4) to form manganese(IV) oxide (MnO2).,a
science_v29,./all_data2/science_v29/science_v29.mp4,Science,Chemistry,How does the video demonstrate that Bromine is dense?,He pours Bromine into water and sees brown color at the bottom.,He pours Bromine vapor into air and it falls onto the surface.,He pours Bromine vapor into air and it floats up.,He directly measures the density of Bromine.,b
science_v29,./all_data2/science_v29/science_v29.mp4,Science,Chemistry,What would happen if the operator does not use the flame gun to make the ampule?,Nothing different.,The thin connection between two test tubes would be fragile and easily broken.,Bromine may let off orange vapor and damage surroundings.,,c
science_v30,./all_data2/science_v30/science_v30.mp4,Science,Math,Does the endpoint of the curve reach the starting point eventually?,Yes.,"No, there is still a gap and it will never overlap with the beginning.","Cannot tell, it may trace back to the starting point and loop again.",,b
science_v30,./all_data2/science_v30/science_v30.mp4,Science,Math,"There are two line segments. The inner one connects the origin and the middle hollow dot, while the outer one connects two hollow dots. What is the correspondence between the line segments and the function terms?","inner segment is e^{theta i}, outer segment is e^{pi theta i}","inner segment is e^{pi theta i}, outer segment is e^{theta i}",Cannot tell from the diagram,,a
science_v30,./all_data2/science_v30/science_v30.mp4,Science,Math,Why does it need the sum of the two terms to demonstrate that Pi is irrational?,Because the difference between the two terms is rational.,Because visualizing any one of the terms alone would result in a simple circle.,Because any one of the terms alone is rational but their sum is irrational.,Because visualizing their sum ends up with a plausible figure.,b
science_v31,./all_data2/science_v31/science_v31.mp4,Science,Physics,Which of the claim is correct?,The potato moves up because her hand pushes the knife down.,The potato lost its inertia when the hammer directly knocks it down.,Both potato and knife have inertia.,She tell the audience to knock the knife to remove the potato safely.,c
science_v31,./all_data2/science_v31/science_v31.mp4,Science,Physics,What would happen if she holds the knife upside down and hit the knife from below?,The knife would still insert into the potato deeper and deeper.,The potato would stay at the same position of the knife.,The potato would move upward and fall off the knife.,,a
science_v32,./all_data2/science_v32/science_v32.mp4,Science,Physics,Which of the claim is correct?,The wooden disc has lighter rotational inertia because wood is less dense than iron.,The wooden disc has lighter rotational inertia because it has smaller mass.,The metal ring has lighter rotational inertia because it is less dense than wood.,The metal ring has lighter rotational inertia because it has smaller mass.,b
science_v32,./all_data2/science_v32/science_v32.mp4,Science,Physics,"Assume the wooden disc has a mass m1 and a rotational inertia I1. The metal ring has negligible thickness, a mass m2, and a rotational inertia of I2. What is I1/I2 assuming that they have the same radius?",m1/m2,m1/(2*m2),(2*m1)/m2,(m1)^2/(m2)^2,b
science_v33,./all_data2/science_v33/science_v33.mp4,Science,Physics,What might N represents in the diagram when the animation shows the diffusion process happening across a cell's membrane?,The flux.,The total rate of flow.,The number of molecules inside the membrane as time flows.,The number of molecules outside the cell as time flows.,c
science_v34,./all_data2/science_v34/science_v34.mp4,Science,Physics,Why is the phenomenon wierd?,Because the air keeps shooting out of the bottle.,Because there is no net movement of air in the bottle.,Because we can propel the bottle by blowing into the bottle.,,b
science_v34,./all_data2/science_v34/science_v34.mp4,Science,Physics,Why is the vortex called a virtual wall?,Because the air flowing out creates a wall in front of the bottle.,Because the Helmholtz reasonance needs a wall in front of the bottle to happen.,Because the wall is invisible most of the time.,Because it looks like the air out hits a wall and returns back into the bottle.,d
science_v35,./all_data2/science_v35/science_v35.mp4,Science,Physics,What does the second equation imply?,A north pole must come with a south pole to form a loop in mangetics.,A changing magnetic field produces an electric field.,An changing electric field produces a magnetic field.,A charge produces an electric field around it.,a
science_v35,./all_data2/science_v35/science_v35.mp4,Science,Physics,"For the demo of the third equation, why does the pointer stays for a second in the middle between deflection to the right and to the left?",Because the magnet has not been inserted into the coil.,Because the pointer needs to be reset to measure again.,Because the magnet is moving outwards.,Because the magnet is inserted but not moving in the coil.,d
science_v36,./all_data2/science_v36/science_v36.mp4,Science,Math,Can you get the answer to the question in the video faster instead of using Reduced row-echelon form?,"No, because Reduced row-echelon form is required to verify if C is in the span of A and B.","Yes, because there are redundant steps in the video when computing the Reduced row-echelon form.","Yes, because A and B form a basis of R^2 as they are not scalar multiples of each other.","Yes, because the vectors have finite dimensions.",c
science_v36,./all_data2/science_v36/science_v36.mp4,Science,Math,Assuming A and B are not scalar multiples of each other but have three dimensions. Is C (also three dimensions) still in the span of A and B?,"Yes, because A and B are independent and form a basis for R^3.","Yes, because it can be proved from two dimension space using inductive hypothesis.","Unsure, because A and B only spans a 2D plane in the three-dimension space.","No, because C is always in the space of three vectors.",c
science_v37,./all_data2/science_v37/science_v37.mp4,Science,Math,Is the answer in the video correct?,"No, because the limit does not exist.","No, because the limit exists but should be non-zero","Yes, because the student has verified two paths leading to the same result","Yes, because the limit should be zero.",a
science_v37,./all_data2/science_v37/science_v37.mp4,Science,Math,What would the result be if the numerator is (x+y)^2?,The limit still does not exist,The limit would be 2.,The limite would be 1/2,,a
science_v38,./all_data2/science_v38/science_v38.mp4,Science,Math,Why could the method work?,It is magic.,"It is a special case for the result of 4, 1, and 6.","The equations are calculating 100*x+10*y+z, placing three numbers into three different positions.",The equations are calculating the remainders for each digit over 6.,c
science_v38,./all_data2/science_v38/science_v38.mp4,Science,Math,Would the method work for dices with arbitrary number of surfaces?,"Yes, it would work for any number of surfaces.","No, it only works for a normal 6-surface dice.",It works for any dices with less than 10 surfaces.,,c
science_v39,./all_data2/science_v39/science_v39.mp4,Science,Chemistry,What could be the three gases in order?,"Carbon dioxide, oxygen, nitrogen.","Carbon dioxide, oxygen, hydrogen.","Carbo dioxide, oxygen, oxygen","Carbon monoxide, oxygen , hydrogen.",b
science_v40,./all_data2/science_v40/science_v40.mp4,Science,Chemistry,"Based on the second liquid, what could be the pH of the basic liquid? ",less than 7.,between 7 and 8.,larger than 8.,,c
science_v40,./all_data2/science_v40/science_v40.mp4,Science,Chemistry,What happens in the third liquid to make it a 'milk'?,Barium chloride dissolves in water and naturally show white color.,Barium chloride reacts with the basic which contains sodium carbonate and generates barium carbonate.,Barium chloride reacts with the basic which contains sodium bicarbonate and generates milk.,Barium chloride is a pH indicator that shows white when the basic is alkaline.,b
science_v41,./all_data2/science_v41/science_v41.mp4,Science,Chemistry,What is the reason to store sodium metal in oil?,Sodium metal reacts with air and moisture.,Sodium metal is soft and can be squeeshed by hand.,Sodium metal is flammable and can cause fire in oil.,,a
science_v41,./all_data2/science_v41/science_v41.mp4,Science,Chemistry,What happens to the cut of the sodium metal when it shows gold color?,It reacts with oxygen and generates sodium oxide,It reacts with oxygen and generates sodium peroxide,It reacts with moisture in the air and burns,,b
science_v42,./all_data2/science_v42/science_v42.mp4,Science,Chemistry,What happens when the powder and the liquid reacts?,It first generates white smoke and then causing fire.,The powder and the liquid directly generates fire in a few seconds.,The mixture boils and becomes dry by releasing water vapor and then reacts to cause fire.,,a
science_v42,./all_data2/science_v42/science_v42.mp4,Science,Chemistry,What does the person imply about the ping pong ball when he mentions fume Hood?,The ping pong ball has a perfect volume to store enough powder.,The reaction is too intense so he isolates the powder in a ping pong ball for safety,The ping pong ball serves as fuels that facilitate causing the fire when the reaction happens.,There is no connection between the ping pong ball and the fume Hood.,b
science_v42,./all_data2/science_v42/science_v42.mp4,Science,Chemistry,Why does the mixture being able to cause fire even under damp weather?,The mixture reacts with water in the air to cause fire.,The mixture releases too much heat that can still cause fire in damp air.,The mixture reaction causes a lot of white water vapor as it shows in the video.,The mixture leads to displacement reaction that releases a lot of heat.,b
science_v43,./all_data2/science_v43/science_v43.mp4,Science,Chemistry,Was the experiment successful?,"Yes, she successfully burned the twenty dollar bill and she was happy.","No, because she found that she used the wrong liquid to soak the bill.","No, becasue the flame on the bill also burned her hands.","No, becasue she doesn't mean to really burn the bill but showing a trick without destroying it.",d
science_v43,./all_data2/science_v43/science_v43.mp4,Science,Chemistry,What could be the main cause leading to the failure?,She didn't protect herself with glasses.,She used a metal clamp instead of her hands to hold the bill.,She used a twenty dollar bill but she should have used a hundred one to make it more surprising.,Part of the edge was not submerged into the liquid so the flame continued to smolder.,d
science_v43,./all_data2/science_v43/science_v43.mp4,Science,Chemistry,"Given that the bill wouldn't be burned at all if the experiment were successful, why is that?",The liquid was just water.,The mixture of alcohol and water provides a special protection to the bill.,"The alcohol burns and the fire heats up water into vapor, which takes most of the heat released.",The fire is special with a temperature below the ignition point.,c
science_v44,./all_data2/science_v44/science_v44.mp4,Science,Biology,"In an egg cell, how many copies of X chromosome are inactive?",Zero.,One.,Two.,Three.,b
science_v44,./all_data2/science_v44/science_v44.mp4,Science,Biology,"In the video, where does the pink X chromosome and the blue X chromosome come from for a cell?",Both come from mom.,The pink one comes from mom while the blue one comes from dad.,The pink one comes from dad while the blue one comes from mom.,Both come from dad.,b
science_v45,./all_data2/science_v45/science_v45.mp4,Science,Biology,Which claim is correct?,The green grid shows the potential phenotypes of the rabbits' offsprings.,"The ""B"" denotes brown because the BB rabbit is brown.",The rabbits' offsprings could be either white or brown.,The top genetics on the square come from the white rabbit.,a
science_v45,./all_data2/science_v45/science_v45.mp4,Science,Biology,What could be the outcome if the brown rabbit has a heterozygous genotype?,Their offsprings have 1/4 probability to be brown and 3/4 probability to be white.,Their offsprings have 3/4 probability to be brown and 1/4 probability to be white.,Their offsprings have 1/2 probability to be brown and 1/2 probability to be white.,All offsprings will still be brown.,c
science_v46,./all_data2/science_v46/science_v46.mp4,Science,Biology,Which of the following is the correct order of the changes happened to the tadpole?,Eyes become visible -> hind legs grow -> fore legs grow -> tail disappear.,Hind legs grow -> eyes become visible -> fore legs grow -> tail disappear.,Eyes become visible -> fore legs grow -> hind legs grow -> tail disappear.,Eyes become visible -> hind legs grow -> tail disappear -> fore legs grow.,a
science_v46,./all_data2/science_v46/science_v46.mp4,Science,Biology,Which of the following sets of changes have happened to the tadpole?,Stronger fore legs than hind legs; color fromo black to green.,Color from black to transparent; bigger stomach.,Color from black to green; gill breathing to lung breathing.,Color from black to green; lung breathing to gill breathing.,c
science_v47,./all_data2/science_v47/science_v47.mp4,Science,Biology,Which of the following is the correct order of the changes happened to the caterpillar?,It sheds its skin from head to back -> it shakes to get rid of the skin -> it stays and wait for the casing to harden.,It sheds its skin from back to head -> it shakes to get rid of the skin -> it stays and wait for the casing to harden.,It shakes to get rid of the skin -> it sheds its skin from head to back -> it stays and wait for the casing to harden.,It stays and wait for the casing to harden -> it sheds its skin from head to back -> it shakes to get rid of the skin.,a
science_v47,./all_data2/science_v47/science_v47.mp4,Science,Biology,Which of the following is correct?,The green color shows that the outer casing is softer than the dark skin.,It shakes to celebrate the success of shedding skins off.,The green casing will gets drier and harden in the following time.,It attaches to the branch using its black needle at the back of its body.,c
science_v48,./all_data2/science_v48/science_v48.mp4,Science,Biology,What are the typical features of cicada known for?,stocky body.,broad head.,membranous wings.,all of above.,d
science_v48,./all_data2/science_v48/science_v48.mp4,Science,Biology,What can you tell about the cicada in the video?,It is about 10-17 years old.,There is a crack on its back when it starts the metamorphosis.,The wings gets more blue when it gets harden.,"After it breaks out of the shell, it hugs the shell to take it away.",b
science_v49,./all_data2/science_v49/science_v49.mp4,Science,Geography,Which describes a correct change of the evolution?,The nostrils turn from pointing downward to pointing forward.,The bridge of the nose gets higher.,The mouth gets protruding.,The cheeckbones protrudes more outside.,b
science_v49,./all_data2/science_v49/science_v49.mp4,Science,Geography,What can you tell about the evolution process?,Our mouth becomes less protruding because eating requires less efforts after humans learn cooking.,The nostrils pointing forward to smell father.,Humans get higher forehead because humans get taller.,Humans grow mustache to protect the mouth.,a
science_v50,./all_data2/science_v50/science_v50.mp4,Science,Geography,Which of the following is correct?,The person would have a chance to survive.,The person will likely suffocate instead of being poisoned by the poisonous gas.,The person will sink into lava.,,b
science_v50,./all_data2/science_v50/science_v50.mp4,Science,Geography,Which of the following is correct?,A tungsten light bulb would melt into liquid in the lava.,Lava would flow on top of water.,Extinct vocalno will not erupt again in years.,,c
science_v51,./all_data2/science_v51/science_v51.mp4,Science,Zoology,"Based on the video, why is the bird called six-plumed bird of paradise?",The bird likes to clean its display ground.,He likes to tide six fallen leaves off the ground.,There are six quills on front of the head.,There are six quills on the back of the head.,d
science_v51,./all_data2/science_v51/science_v51.mp4,Science,Zoology,How does the bird clean and decorate its display ground?,"He tidies every fallen leaves and berries, and spit out snakeskins to decorate",He tidies every fallen leaves and spit out red berries to decorate the floor.,He picks leaves of different colors and red berries to decorate the floor.,,b
science_v51,./all_data2/science_v51/science_v51.mp4,Science,Zoology,What do scientists say about the final touch?,It is hardly ever seen.,He adds a scent of snakes to ward off predators.,He polishes a perch for a female with a cleaning cloth.,Both B and C.,d
science_v52,./all_data2/science_v52/science_v52.mp4,Science,Zoology,What can you infer about the bird in the video?,He has mysophobia as he cleans up the branch with a bigger rag.,He is a trained bird and needs to rehearse before the main act.,He is potentially a healthy bird with better genes.,He is potentially in high pressure as he has highly critical audience.,c
science_v52,./all_data2/science_v52/science_v52.mp4,Science,Zoology,What will likely happen after the bird's reheasal of the main act?,He will be exhausted and take a nap.,He will collect more berries to start attracting females.,He will look for a female and dance in front of her.,Both B and C.,d
science_v53,./all_data2/science_v53/science_v53.mp4,Science,Zoology,What does the bison do to get to the grass?,He sweeps his head down through the snow.,He grows thick coat to slow metabolism down.,He digs a trail on the snow by walking back and forth.,He first melts the snow and then get down to the grass.,a
science_v53,./all_data2/science_v53/science_v53.mp4,Science,Zoology,What is the narrator implying when he says the grass has about the same nutritional value as cardboard?,The grass tastes like cardboard in the video.,The grass is nutritious as cardboard to support the bisons survive through the winter.,The bisons can survive on cardboard as well.,The bisons need to try their best to save energy to survive.,d
science_v54,./all_data2/science_v54/science_v54.mp4,Science,Zoology,Which of the following is incorrect?,Bisons can move the deep snow to get food.,Elks are traveling because they need to find more sheltered valley to survive.,Elks in the video are moving in a group of six.,There are also wolves in the land of yellowstone.,c
science_v54,./all_data2/science_v54/science_v54.mp4,Science,Zoology,What can you imply about the Druid pack?,There are a lot of wolves in Druid pack.,It is a place for druids to live (in the past).,The elks may face greater danger from the wolves.,Both A and C.,d
science_v55,./all_data2/science_v55/science_v55.mp4,Science,Zoology,What helps the wolve pack survive through the winter?,Elks moving into the area.,Improving hunting skills by playing with each other.,The structure and strength of the pack working as one.,"All A, B and C.",d
science_v55,./all_data2/science_v55/science_v55.mp4,Science,Zoology,What is the role of the birds in this video?,They are also preys like elks for the wolves.,They are predators like the wolves.,They survive by eating from dead bodies after the wolves are done.,They fight for the same dead body against the wolf.,c
science_v56,./all_data2/science_v56/science_v56.mp4,Science,Geography,"In the video, what is the impact of the sun on the land?",Ice starts to melt and water flows.,Plants and flowers melt from their icy prison.,Small plants prepare to absorb's the sunlight.,B and C.,d
science_v56,./all_data2/science_v56/science_v56.mp4,Science,Geography,What will the video talk about next right after the clip?,Why it pays to get a head start.,Details about the compass plant.,Other plants that takes advantage of the midnight sun.,,b
science_v57,./all_data2/science_v57/science_v57.mp4,Science,Geography,What is wrong about the process of geyser eruption in yellow stone?,The eruption is companied with formation and expansion of a lot of steam.,The old faithful geyser can go up to 150 feet into the air.,The old faithful geyser can erupt for 60 to 90 minutes.,The steam from the geyser are potentially harmless to animals.,c
science_v57,./all_data2/science_v57/science_v57.mp4,Science,Geography,What is not the reason of geyser eruptions in Yellowstone?,There is a slumbering supervolcano below the park.,There is boiling water in side chambers underground.,The pressure from the released steam continues to blast the underground water out.,The undeground looping chambers trap steam from the boiling water.,c
science_v58,./all_data2/science_v58/science_v58.mp4,Science,Geography,What can you tell from the trajectories of the rubber ducks?,Some of the rubber ducks diverge from currents because of wind.,There is a major current circling in pacific between east asia and north america.,The paths are useful because they help the sellers collect them back.,The duck that goes farthest travel across the English Channel.,b
science_v58,./all_data2/science_v58/science_v58.mp4,Science,Geography,What would happen if the cargo sinks at the east side of Australia?,Some rubber ducks will float to the Bering Strait with current from south to north.,Many rubber ducks will float to the west coast of the US.,A lot of rubber ducks will float to the west side of Africa.,,c
science_v59,./all_data2/science_v59/science_v59.mp4,Science,Geography,What would happen if the earth rotates in the opposite direction?,Water would move back and forth between low pressure at the equator and high pressure at the poles.,"In the south hemisphere, the air moving from the equator to the pole is deflected eastward.","In the south hemisphere, the air moving from the equator to the pole is deflected westward.",The gyres in the south hemisphere rotates anti-clockwise.,c
science_v59,./all_data2/science_v59/science_v59.mp4,Science,Geography,What is Global Conveyor Belt?,The thermohaline circulation of deep water in the ocean.,It is a combination of surface currents and deep water currents.,It is a belt that connects all the oceans in the world.,It is a combination of coriolis effect and the wind-driven surface water currents.,b
science_v60,./all_data2/science_v60/science_v60.mp4,Science,Geography,Which of the following is incorrect?,Dead organisms and plants sank to the bottom of swamps and became fossil fuels.,"Layers of sand, clay and other minerals at the bottom of swamps and oceans decompose and form fossil fuels.",Both coal and natural gas requires high pressure and heat.,Fossil fuels have an imbalanced distribution across the earth.,b
science_v60,./all_data2/science_v60/science_v60.mp4,Science,Geography,Which is not the reason of looking for alternate sources of energy other than fossil fuels?,Fossil fuels are causing increased safety concerns.,Fossil fuels are non-renewable as it takes millions of years to form.,Fossil fuels are causing financial concerns as it is rare in some places.,Fossil fuels are causing human health issues due to carbon dioxide emission.,c
How Snails move ? ZOOM-in Video | Free HD Videos - no copyright,./all_data2/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright.mp4,Science,Biology,What might be the reason for the observed phenomenon in the video?,The snail is looking for a warm meal,The snail is running from a tiger,The snail is an Olympic athlete,The snail is looking for a plant to climb,d
How Snails move ? ZOOM-in Video | Free HD Videos - no copyright,./all_data2/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright.mp4,Science,Biology,What would happen if the ground was dry?,The outcome will remain the same,The snail would travel from right to left,The snail would stop moving altogether,The snail will travel slower than depicted in the video,d
How Snails move ? ZOOM-in Video | Free HD Videos - no copyright,./all_data2/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright.mp4,Science,Biology,What will the ground feel like after the video has ended?,Dry,Wet with water,Wet with mucus,Powdery,c
How Snails move ? ZOOM-in Video | Free HD Videos - no copyright,./all_data2/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright/How Snails move ? ZOOM-in Video | Free HD Videos - no copyright.mp4,Science,Biology,Why is the snail moving relatively fast in this video?,The mucus produced by the snail reduces friction on the ground,The snail recently had food,The snail is participating in a race,The snail is running from a tiger,a
POPSICLE STICKS CHAIN REACTION,./all_data2/POPSICLE STICKS CHAIN REACTION/POPSICLE STICKS CHAIN REACTION.mp4,Tech & Engineering,Woodworking,Why are the popsicles flying through the air?,The tension and friction holding them together is being released,There is a gust of air from below,Someone is pulling them up with a string,They hold magical properties,a
POPSICLE STICKS CHAIN REACTION,./all_data2/POPSICLE STICKS CHAIN REACTION/POPSICLE STICKS CHAIN REACTION.mp4,Tech & Engineering,Woodworking,What would happen if a stick in the experiment was removed?,The outcome will remain the same,The chain would break apart from the middle in a chaotic manner,The line would break in reverse,The line would flip upside down,b
POPSICLE STICKS CHAIN REACTION,./all_data2/POPSICLE STICKS CHAIN REACTION/POPSICLE STICKS CHAIN REACTION.mp4,Tech & Engineering,Woodworking,What are the people in the video now concerned with?,Cleaning up the sticks and reassembling the line,Mopping the floor,Brushing their teeth,Watching the line reform itself,a
POPSICLE STICKS CHAIN REACTION,./all_data2/POPSICLE STICKS CHAIN REACTION/POPSICLE STICKS CHAIN REACTION.mp4,Tech & Engineering,Woodworking,What scientific principle demonstrated in the video is crucial for understanding the concept of the chain reaction?,Thermodymanics and Pressure,Electromagnetism and Torque,Tension and Friction,Nuclear Fission and Gravity,c
Pendulum Pours with Color Pouring Medium Matte & Gloss,./all_data2/Pendulum Pours with Color Pouring Medium Matte & Gloss/Pendulum Pours with Color Pouring Medium Matte & Gloss.mp4,Sports & Arts,Drawing and Painting,What might be the reason for the method of paint depiced?,The colors are more vibrant the farther they fall,The paint need to be churned like butter,The paint is on a low gravity planet,The paint is designed to be poured rather than brushed,d
Pendulum Pours with Color Pouring Medium Matte & Gloss,./all_data2/Pendulum Pours with Color Pouring Medium Matte & Gloss/Pendulum Pours with Color Pouring Medium Matte & Gloss.mp4,Sports & Arts,Drawing and Painting,"What would happen if the bucket was attached to a double pendulum,",The outcome will remain the same,The paint would hit the ceiling,The paint wouldn't leave the bucket,The spiral designs would turn into an unpredictable chaos,d
Pendulum Pours with Color Pouring Medium Matte & Gloss,./all_data2/Pendulum Pours with Color Pouring Medium Matte & Gloss/Pendulum Pours with Color Pouring Medium Matte & Gloss.mp4,Sports & Arts,Drawing and Painting,How will the canvas look if the experiment is left forever?,The center of the canvas will be a solid color,The bucket will never stop spinning,The paint will not run out,The corners of the canvas will be a solid color,a
Pendulum Pours with Color Pouring Medium Matte & Gloss,./all_data2/Pendulum Pours with Color Pouring Medium Matte & Gloss/Pendulum Pours with Color Pouring Medium Matte & Gloss.mp4,Sports & Arts,Drawing and Painting,What scientific principle demonstrated in the video is crucial for understanding the concept of pendulum painting?,Spring Mechanics,Surface Tension,Pendulums,Thermodynamics,c
Water Droplets Evaporation Time-Lapse,./all_data2/Water Droplets Evaporation Time-Lapse/Water Droplets Evaporation Time-Lapse.mp4,Science,Physics,What might be the reason for the observed phenomenon in the video?,The sunlight heats up the water molecules until they enter a gaseous state,The plant absorbed the water,A deer drank the water,The water turned invisible,a
Water Droplets Evaporation Time-Lapse,./all_data2/Water Droplets Evaporation Time-Lapse/Water Droplets Evaporation Time-Lapse.mp4,Science,Physics,What would happen if this video were recorded with less light,The water would evaporate faster,The water would freeze,The water would evaporate slower,The water would turn blue,c
Water Droplets Evaporation Time-Lapse,./all_data2/Water Droplets Evaporation Time-Lapse/Water Droplets Evaporation Time-Lapse.mp4,Science,Physics,What will happen to the water beyond the video's end,The water will return to the spot it evaporated from,The water vapor will disperse through the air,The remains of the drop will turn green,The water will double in volume,b
Water Droplets Evaporation Time-Lapse,./all_data2/Water Droplets Evaporation Time-Lapse/Water Droplets Evaporation Time-Lapse.mp4,Science,Physics,What scientific principle demonstrated in the video is crucial for understanding the concept of this video?,Thermodynamics,Fossilisation,Electromagnetism,Sublimination,a
Video Lab: Chemical reaction: Change in Color,./all_data2/Video Lab: Chemical reaction: Change in Color/Video Lab: Chemical reaction: Change in Color.mp4,Science,Chemistry,Why did the color of the sugar and soda solution change?,The chemical compounds in the vials caused a chemical reaction,The temperature of the air changed the color,The material of the container caused the color shift,The water being stirred caused the shift,a
Video Lab: Chemical reaction: Change in Color,./all_data2/Video Lab: Chemical reaction: Change in Color/Video Lab: Chemical reaction: Change in Color.mp4,Science,Chemistry,What would happen if the solution was different?,The final color would be the same,The sugar and soda solution would freeze,The color would likely be different,The solution would boil,c
Video Lab: Chemical reaction: Change in Color,./all_data2/Video Lab: Chemical reaction: Change in Color/Video Lab: Chemical reaction: Change in Color.mp4,Science,Chemistry,What will happen once the stirrir is turned off?,"The solution will settle, no further change",The ingredients will separate,The solution will freeze,The color would revert back,a
Video Lab: Chemical reaction: Change in Color,./all_data2/Video Lab: Chemical reaction: Change in Color/Video Lab: Chemical reaction: Change in Color.mp4,Science,Chemistry,What scientific principle demonstrated in the video is crucial for understanding the concept of the solution?,Chemical Reactions,Electron Clouds,Neuron Synapses,The Digestive Tract,a
Pond water microorganism under microscope,./all_data2/Pond water microorganism under microscope/Pond water microorganism under microscope.mp4,Science,Biology,How did the microorgnanisms get under the microscope?,The microscope was inserted into a pond,The microorganisms are suspended in the air,The microorganisms were englarged,The microorganisms were placed onto a petri dish,d
Pond water microorganism under microscope,./all_data2/Pond water microorganism under microscope/Pond water microorganism under microscope.mp4,Science,Biology,What will happen if the video is left recoridng forever,The microorganisms will stop moving,The water will become purple,The microorganisms will grow larger indefinitely,The water volume will grow,a
Pond water microorganism under microscope,./all_data2/Pond water microorganism under microscope/Pond water microorganism under microscope.mp4,Science,Biology,What are the microorganisms trying to achieve?,Homeostasis,Financial Freedom,Housing Security,The warmth and affection they've grown up lacking,a
"Growing Plants Time Lapse Compilation - 123 Days Of Growing in 2,5 Minutes","./all_data2/Growing Plants Time Lapse Compilation - 123 Days Of Growing in 2,5 Minutes/Growing Plants Time Lapse Compilation - 123 Days Of Growing in 2,5 Minutes.mp4",Science,Biology,Why did the recorder opt to use a timelapse?,The plants don't grow unless a timelapse is being recorded,The plants grow too slowly to be visualized otherwise,The plants only grow at night,The plants grow too fast,b
